,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1,m2_training_time,m2_prediction_time,m2_acc,m2_prec,m2_rec,m2_f1,m3_training_time,m3_prediction_time,m3_acc,m3_prec,m3_rec,m3_f1
408,408,378,3707,0.967992240543162,0.7942386831275721,0.7975206611570248,0.7958762886597938,1.1582577228546143,0.4779198169708252,0.9702554154542515,0.8605769230769231,0.7396694214876033,0.7955555555555556,4.321948051452637,0.47623348236083984,0.9683155512447462,0.8076923076923077,0.78099173553719,0.7941176470588236,4.043575048446655,0.03620123863220215,0.9566763659877142,0.6824324324324325,0.8347107438016529,0.7509293680297398
409,409,380,3715,0.9685371391501784,0.7942386831275721,0.8041666666666667,0.7991718426501035,1.1409516334533691,0.46286654472351074,0.9711320142718132,0.8647342995169082,0.7458333333333333,0.8008948545861297,6.907690048217773,0.47029685974121094,0.9669153421991566,0.7899159663865546,0.7833333333333333,0.7866108786610879,3.295241594314575,0.03612804412841797,0.9633473889069089,0.7360594795539034,0.825,0.7779960707269156
410,410,382,3723,0.9681093394077449,0.7845528455284553,0.8109243697478992,0.7975206611570248,1.1190526485443115,0.4616410732269287,0.9710380735437683,0.8599033816425121,0.7478991596638656,0.7999999999999999,3.6124300956726074,0.4685080051422119,0.9664822648877318,0.7689243027888446,0.8109243697478992,0.7893660531697342,2.7813146114349365,0.03600358963012695,0.9616010413276929,0.7238805970149254,0.8151260504201681,0.766798418972332
411,411,383,3732,0.9686581782566112,0.7949790794979079,0.8016877637130801,0.7983193277310924,1.0812265872955322,0.4597604274749756,0.9709435194253999,0.8627450980392157,0.7426160337552743,0.7981859410430838,6.839417457580566,0.46635937690734863,0.9680052236369572,0.7907949790794979,0.7974683544303798,0.7941176470588236,4.8699047565460205,0.03591036796569824,0.9598432908912831,0.708029197080292,0.8185654008438819,0.7592954990215264
412,412,383,3742,0.9682279724860793,0.7845528455284553,0.8143459915611815,0.7991718426501034,1.1062078475952148,0.45903992652893066,0.9708483458892893,0.8627450980392157,0.7426160337552743,0.7981859410430838,3.675459861755371,0.4634249210357666,0.9662626924336718,0.7658730158730159,0.8143459915611815,0.7893660531697343,4.2740466594696045,0.03601431846618652,0.9656075990828693,0.746268656716418,0.8438818565400844,0.7920792079207921
413,413,383,3752,0.9687808084127506,0.8008474576271186,0.7974683544303798,0.7991543340380549,1.0825984477996826,0.4540834426879883,0.9707525468287874,0.8627450980392157,0.7426160337552743,0.7981859410430838,7.131802082061768,0.461439847946167,0.9691094314820901,0.8095238095238095,0.7890295358649789,0.7991452991452991,3.6558923721313477,0.03553199768066406,0.9635228393033191,0.74609375,0.8059071729957806,0.7748478701825557
414,414,383,3762,0.9683481701285855,0.7901234567901234,0.810126582278481,0.8,1.085813045501709,0.4571974277496338,0.9706561160567095,0.8627450980392157,0.7426160337552743,0.7981859410430838,8.388186931610107,0.4636499881744385,0.965710517639301,0.7714285714285715,0.7974683544303798,0.7842323651452282,4.6959755420684814,0.035512685775756836,0.963402571711177,0.7404580152671756,0.8185654008438819,0.7775551102204409
415,415,384,3771,0.9702282500826993,0.809322033898305,0.809322033898305,0.809322033898305,1.086989402770996,0.4509103298187256,0.9705590473040027,0.8620689655172413,0.7415254237288136,0.7972665148063782,4.029836654663086,0.45812439918518066,0.9655970889844525,0.7727272727272727,0.7923728813559322,0.7824267782426778,3.133359909057617,0.035466909408569336,0.9662586834270592,0.7537878787878788,0.8432203389830508,0.7960000000000002
416,416,385,3780,0.9701294390972452,0.8085106382978723,0.8085106382978723,0.8085106382978723,1.0791659355163574,0.4495816230773926,0.970461334218387,0.8613861386138614,0.7404255319148936,0.7963386727688787,3.2337069511413574,0.4563615322113037,0.9674742781281115,0.7866108786610879,0.8,0.7932489451476794,3.293292284011841,0.035363197326660156,0.9568536342515765,0.7027027027027027,0.774468085106383,0.736842105263158
417,417,386,3789,0.9673659673659674,0.8035714285714286,0.7692307692307693,0.7860262008733624,1.3309810161590576,0.4508967399597168,0.9706959706959707,0.8613861386138614,0.7435897435897436,0.798165137614679,8.771068811416626,0.4559919834136963,0.9603729603729604,0.8323699421965318,0.6153846153846154,0.7076167076167077,2.6832306385040283,0.03541874885559082,0.9617049617049617,0.7351778656126482,0.7948717948717948,0.7638603696098563
418,418,388,3797,0.9689274974941531,0.7982832618025751,0.8017241379310345,0.8,1.1025652885437012,0.44712257385253906,0.9712662880053458,0.8686868686868687,0.7413793103448276,0.8,4.2948830127716064,0.45529913902282715,0.965586368192449,0.776824034334764,0.7801724137931034,0.7784946236559139,2.768254518508911,0.034950971603393555,0.9572335449381891,0.6925925925925925,0.8060344827586207,0.745019920318725
419,419,388,3807,0.9681528662420382,0.801762114537445,0.7844827586206896,0.7930283224400873,1.1780505180358887,0.4475071430206299,0.9711699631243714,0.8686868686868687,0.7413793103448276,0.8,3.4932546615600586,0.49425649642944336,0.9694937981897419,0.8,0.8103448275862069,0.8051391862955032,2.7883572578430176,0.04097580909729004,0.957425410660409,0.7027027027027027,0.7844827586206896,0.7413441955193483
420,420,388,3817,0.9683821056172217,0.8194444444444444,0.7629310344827587,0.7901785714285715,1.0702989101409912,0.44562435150146484,0.9710729902455433,0.8686868686868687,0.7413793103448276,0.8,6.592932224273682,0.45236682891845703,0.9606458123107972,0.8212290502793296,0.6336206896551724,0.7153284671532846,4.438851833343506,0.03499126434326172,0.9589640094180962,0.7099236641221374,0.8017241379310345,0.7530364372469636
