,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1
158,158,429,1156,0.9738959413552655,0.9090909090909091,0.2617801047120419,0.4065040650406504,3.403590440750122,0.0634007453918457,0.9738959413552655,0.9090909090909091,0.2617801047120419,0.4065040650406504
159,159,438,1157,0.9749238760523016,0.875,0.2692307692307692,0.411764705882353,1.865967035293579,0.06524038314819336,0.9749238760523016,0.875,0.2692307692307692,0.411764705882353
160,160,447,1158,0.9754171900233267,0.875,0.24277456647398843,0.38009049773755654,1.5415520668029785,0.06359601020812988,0.9754171900233267,0.875,0.24277456647398843,0.38009049773755654
161,161,456,1159,0.9748337228114327,0.8529411764705882,0.17682926829268292,0.29292929292929293,1.4453401565551758,0.062132835388183594,0.9748337228114327,0.8529411764705882,0.17682926829268292,0.29292929292929293
162,162,464,1161,0.9756888168557536,0.8387096774193549,0.16666666666666666,0.27807486631016043,1.8759963512420654,0.062371015548706055,0.9756888168557536,0.8387096774193549,0.16666666666666666,0.27807486631016043
163,163,472,1163,0.9774490348186903,0.9259259259259259,0.16891891891891891,0.2857142857142857,2.213787078857422,0.062073707580566406,0.9774490348186903,0.9259259259259259,0.16891891891891891,0.2857142857142857
164,164,480,1165,0.9772275438279414,0.85,0.12142857142857143,0.2125,2.4562430381774902,0.06177520751953125,0.9772275438279414,0.85,0.12142857142857143,0.2125
165,165,488,1167,0.977729494839761,1.0,0.06818181818181818,0.1276595744680851,1.1960113048553467,0.06207776069641113,0.977729494839761,1.0,0.06818181818181818,0.1276595744680851
166,166,497,1168,0.9766007618356611,0.44642857142857145,0.2032520325203252,0.27932960893854747,1.8012418746948242,0.061702728271484375,0.9766007618356611,0.44642857142857145,0.2032520325203252,0.27932960893854747
167,167,503,1172,0.9792840268944212,0.7142857142857143,0.042735042735042736,0.08064516129032259,1.1639349460601807,0.06158018112182617,0.9792840268944212,0.7142857142857143,0.042735042735042736,0.08064516129032259
168,168,508,1177,0.9799745130165666,0.5333333333333333,0.14285714285714285,0.22535211267605632,1.6054472923278809,0.06141400337219238,0.9799745130165666,0.5333333333333333,0.14285714285714285,0.22535211267605632
169,169,515,1180,0.980667517782236,0.47368421052631576,0.08571428571428572,0.14516129032258066,1.6264967918395996,0.061437368392944336,0.980667517782236,0.47368421052631576,0.08571428571428572,0.14516129032258066
170,170,521,1184,0.9813630549972593,0.2,0.010101010101010102,0.019230769230769232,2.6048951148986816,0.061196327209472656,0.9813630549972593,0.2,0.010101010101010102,0.019230769230769232
171,171,522,1193,0.982061138568552,0.0,0.0,0.0,1.6579344272613525,0.06103181838989258,0.982061138568552,0.0,0.0,0.0
172,172,522,1203,0.982028241335045,0.0,0.0,0.0,2.1489179134368896,0.061310768127441406,0.982028241335045,0.0,0.0,0.0
173,173,522,1213,0.982178945434503,1.0,0.01020408163265306,0.020202020202020204,1.9619410037994385,0.06125140190124512,0.982178945434503,1.0,0.01020408163265306,0.020202020202020204
174,174,523,1222,0.9821461439352107,0.0,0.0,0.0,1.4128308296203613,0.062474727630615234,0.9821461439352107,0.0,0.0,0.0
175,175,523,1232,0.9822976212428545,0.6666666666666666,0.020618556701030927,0.04,1.7880921363830566,0.06109166145324707,0.9822976212428545,0.6666666666666666,0.020618556701030927,0.04
176,176,525,1240,0.9828191391095511,1.0,0.021052631578947368,0.041237113402061855,1.2935547828674316,0.06058907508850098,0.9828191391095511,1.0,0.021052631578947368,0.041237113402061855
177,177,527,1248,0.9827873403664631,0.0,0.0,0.0,3.1995766162872314,0.06151175498962402,0.9827873403664631,0.0,0.0,0.0
178,178,527,1258,0.9827554236973856,0.0,0.0,0.0,2.9663071632385254,0.06056618690490723,0.9827554236973856,0.0,0.0,0.0
179,179,527,1268,0.9830949284785435,0.6666666666666666,0.043010752688172046,0.08080808080808081,1.9514901638031006,0.09770965576171875,0.9830949284785435,0.6666666666666666,0.043010752688172046,0.08080808080808081
180,180,531,1274,0.9759910664433278,0.22972972972972974,0.19101123595505617,0.2085889570552147,2.4771273136138916,0.10239291191101074,0.9759910664433278,0.22972972972972974,0.19101123595505617,0.2085889570552147
181,181,533,1282,0.9835912735409286,0.3333333333333333,0.011494252873563218,0.022222222222222223,3.7904820442199707,0.10851335525512695,0.9835912735409286,0.3333333333333333,0.011494252873563218,0.022222222222222223
182,182,534,1291,0.9839342424808518,0.0,0.0,0.0,3.9073455333709717,0.10433411598205566,0.9839342424808518,0.0,0.0,0.0
183,183,534,1301,0.9839041736851956,0.0,0.0,0.0,2.6108603477478027,0.09518957138061523,0.9839041736851956,0.0,0.0,0.0
184,184,534,1311,0.9838739921245078,0.0,0.0,0.0,4.105137348175049,0.10207056999206543,0.9838739921245078,0.0,0.0,0.0
185,185,534,1321,0.98365583317678,0.3333333333333333,0.011627906976744186,0.02247191011235955,2.4295027256011963,0.10187935829162598,0.98365583317678,0.3333333333333333,0.011627906976744186,0.02247191011235955
186,186,535,1330,0.9838132881611142,0.0,0.0,0.0,2.5422933101654053,0.10193514823913574,0.9838132881611142,0.0,0.0,0.0
187,187,535,1340,0.9839713369790685,0.0,0.0,0.0,2.768124580383301,0.10155463218688965,0.9839713369790685,0.0,0.0,0.0
188,188,535,1350,0.9839410542225581,0.0,0.0,0.0,3.4399774074554443,0.09527111053466797,0.9839410542225581,0.0,0.0,0.0
189,189,535,1360,0.9840999432140829,1.0,0.011764705882352941,0.023255813953488372,2.9798030853271484,0.1000831127166748,0.9840999432140829,1.0,0.011764705882352941,0.023255813953488372
190,190,536,1369,0.9840697894936469,0.0,0.0,0.0,2.9380276203155518,0.10005879402160645,0.9840697894936469,0.0,0.0,0.0
191,191,536,1379,0.9840395211856355,0.0,0.0,0.0,2.483562469482422,0.10101604461669922,0.9840395211856355,0.0,0.0,0.0
192,192,536,1389,0.9840091376356368,0.0,0.0,0.0,2.4092650413513184,0.09906363487243652,0.9840091376356368,0.0,0.0,0.0
193,193,536,1399,0.9839786381842457,0.0,0.0,0.0,2.84855318069458,0.08641529083251953,0.9839786381842457,0.0,0.0,0.0
194,194,536,1409,0.983948022167017,0.0,0.0,0.0,3.1838908195495605,0.12288951873779297,0.983948022167017,0.0,0.0,0.0
195,195,536,1419,0.983917288914417,0.0,0.0,0.0,3.2312092781066895,0.09877657890319824,0.983917288914417,0.0,0.0,0.0
196,196,536,1429,0.9838864377517744,0.0,0.0,0.0,2.9350876808166504,0.11530160903930664,0.9838864377517744,0.0,0.0,0.0
197,197,536,1439,0.9838554679992312,0.0,0.0,0.0,2.949634075164795,0.11743545532226562,0.9838554679992312,0.0,0.0,0.0
198,198,536,1449,0.9838243789716926,0.0,0.0,0.0,4.168130159378052,0.11475682258605957,0.9838243789716926,0.0,0.0,0.0
199,199,536,1459,0.9837931699787767,0.0,0.0,0.0,3.8338699340820312,0.11307787895202637,0.9837931699787767,0.0,0.0,0.0
200,200,536,1469,0.9843417745988788,1.0,0.03571428571428571,0.0689655172413793,4.306224346160889,0.10730719566345215,0.9843417745988788,1.0,0.03571428571428571,0.0689655172413793
201,201,539,1476,0.9843114468332365,0.0,0.0,0.0,3.566145420074463,0.10691642761230469,0.9843114468332365,0.0,0.0,0.0
202,202,539,1486,0.984281001358432,0.0,0.0,0.0,3.3131022453308105,0.09938764572143555,0.984281001358432,0.0,0.0,0.0
203,203,539,1496,0.9844448765312075,1.0,0.012345679012345678,0.024390243902439022,3.1524181365966797,0.11183285713195801,0.9844448765312075,1.0,0.012345679012345678,0.024390243902439022
204,204,540,1505,0.9844145723748295,0.0,0.0,0.0,3.3391294479370117,0.0971519947052002,0.9844145723748295,0.0,0.0,0.0
205,205,540,1515,0.9843841499121608,0.0,0.0,0.0,3.8053572177886963,0.09784770011901855,0.9843841499121608,0.0,0.0,0.0
206,206,540,1525,0.9843536084490514,0.0,0.0,0.0,2.5413479804992676,0.09596395492553711,0.9843536084490514,0.0,0.0,0.0
207,207,540,1535,0.9843229472859103,0.5,0.0125,0.02439024390243903,3.468036651611328,0.09341287612915039,0.9843229472859103,0.5,0.0125,0.02439024390243903
208,208,541,1544,0.9844885136461811,0.0,0.0,0.0,3.0470497608184814,0.09563875198364258,0.9844885136461811,0.0,0.0,0.0
209,209,541,1554,0.984457997245721,0.0,0.0,0.0,4.347978591918945,0.0938720703125,0.984457997245721,0.0,0.0,0.0
210,210,541,1564,0.9844273605361719,0.0,0.0,0.0,3.0653843879699707,0.09566879272460938,0.9844273605361719,0.0,0.0,0.0
